20 20
1 7
12
1 8 0.5
1 9 0.5
8 16 0.25
8 17 0.25
9 18 0.25
9 19 0.25
14 7 0.5
15 7 0.5
16 14 0.25
17 14 0.25
18 15 0.25
19 15 0.25
1 7
12
1 8 0.5
1 9 0.5
8 16 0.25
8 17 0.25
9 18 0.25
9 19 0.25
14 7 0.5
15 7 0.5
16 14 0.25
17 14 0.25
18 15 0.25
19 15 0.25
1 0
4
1 8 0.5
1 9 0.5
8 0 0.5
9 0 0.5
1 0
4
1 8 0.5
1 9 0.5
8 0 0.5
9 0 0.5
2 1
12
2 10 0.5
2 11 0.5
8 1 0.5
9 1 0.5
10 16 0.25
10 17 0.25
11 18 0.25
11 19 0.25
16 8 0.25
17 8 0.25
18 9 0.25
19 9 0.25
2 0
12
2 10 0.5
2 11 0.5
8 0 0.5
9 0 0.5
10 16 0.25
10 17 0.25
11 18 0.25
11 19 0.25
16 8 0.25
17 8 0.25
18 9 0.25
19 9 0.25
2 0
12
2 10 0.5
2 11 0.5
8 0 0.5
9 0 0.5
10 16 0.25
10 17 0.25
11 18 0.25
11 19 0.25
16 8 0.25
17 8 0.25
18 9 0.25
19 9 0.25
3 2
4
3 10 0.5
3 11 0.5
10 2 0.5
11 2 0.5
3 2
4
3 10 0.5
3 11 0.5
10 2 0.5
11 2 0.5
4 0
12
4 12 0.5
4 13 0.5
8 0 0.5
9 0 0.5
12 16 0.25
12 17 0.25
13 18 0.25
13 19 0.25
16 8 0.25
17 8 0.25
18 9 0.25
19 9 0.25
4 0
12
4 12 0.5
4 13 0.5
8 0 0.5
9 0 0.5
12 16 0.25
12 17 0.25
13 18 0.25
13 19 0.25
16 8 0.25
17 8 0.25
18 9 0.25
19 9 0.25
4 0
12
4 12 0.5
4 13 0.5
8 0 0.5
9 0 0.5
12 16 0.25
12 17 0.25
13 18 0.25
13 19 0.25
16 8 0.25
17 8 0.25
18 9 0.25
19 9 0.25
4 0
12
4 12 0.5
4 13 0.5
8 0 0.5
9 0 0.5
12 16 0.25
12 17 0.25
13 18 0.25
13 19 0.25
16 8 0.25
17 8 0.25
18 9 0.25
19 9 0.25
6 7
4
6 14 0.5
6 15 0.5
14 7 0.5
15 7 0.5
6 7
4
6 14 0.5
6 15 0.5
14 7 0.5
15 7 0.5
6 3
12
6 14 0.5
6 15 0.5
10 3 0.5
11 3 0.5
14 16 0.25
14 17 0.25
15 18 0.25
15 19 0.25
16 10 0.25
17 10 0.25
18 11 0.25
19 11 0.25
7 3
12
7 14 0.5
7 15 0.5
10 3 0.5
11 3 0.5
14 16 0.25
14 17 0.25
15 18 0.25
15 19 0.25
16 10 0.25
17 10 0.25
18 11 0.25
19 11 0.25
7 3
12
7 14 0.5
7 15 0.5
10 3 0.5
11 3 0.5
14 16 0.25
14 17 0.25
15 18 0.25
15 19 0.25
16 10 0.25
17 10 0.25
18 11 0.25
19 11 0.25
7 3
12
7 14 0.5
7 15 0.5
10 3 0.5
11 3 0.5
14 16 0.25
14 17 0.25
15 18 0.25
15 19 0.25
16 10 0.25
17 10 0.25
18 11 0.25
19 11 0.25
7 3
12
7 14 0.5
7 15 0.5
10 3 0.5
11 3 0.5
14 16 0.25
14 17 0.25
15 18 0.25
15 19 0.25
16 10 0.25
17 10 0.25
18 11 0.25
19 11 0.25
